date	sport	game	model_id	predicted_winner	predicted_margin	predicted_win_prob	actual_winner	actual_margin	hit	spread_ev	ml_ev	bet_type	bet_result
2026-05-21	basketball_nba	Cleveland Cavaliers @ New York Knicks	season-avg-v1	home	13.04	0.77	home	16	1	0.231	0.1122	spread_home	win
2026-05-21	basketball_nba	Cleveland Cavaliers @ New York Knicks	recency-v1	home	15.46	0.8097	home	16	1	0.3249	0.1695	spread_home	win
2026-05-21	basketball_nba	Cleveland Cavaliers @ New York Knicks	injury-rest-v1	home	13.24	0.774	home	16	1	0.2412	0.118	spread_home	win
2026-05-21	basketball_nba	Cleveland Cavaliers @ New York Knicks	home-swing-v1	home	14.6	0.7929	home	16	1	0.2904	0.1453	spread_home	win
2026-05-21	basketball_nba	Cleveland Cavaliers @ New York Knicks	regression-v1	home	11.13	0.7344	home	16	1	0.1507	0.0608	spread_home	win
2026-05-21	basketball_nba	Cleveland Cavaliers @ New York Knicks	pace-adj-v1	home	13.1	0.7734	home	16	1	0.2355	0.1171	spread_home	win
2026-05-21	icehockey_nhl	Montreal Canadiens @ Carolina Hurricanes	season-avg-v1	home	0.98	0.6732	away	-4	0	-0.2143	0.0016	spread_away	win
2026-05-21	icehockey_nhl	Montreal Canadiens @ Carolina Hurricanes	recency-v1	home	1.03	0.6849	away	-4	0	-0.1965	0.019	spread_away	win
2026-05-21	icehockey_nhl	Montreal Canadiens @ Carolina Hurricanes	injury-rest-v1	home	1.0	0.6788	away	-4	0	-0.2092	0.0099	spread_away	win
2026-05-21	icehockey_nhl	Montreal Canadiens @ Carolina Hurricanes	home-swing-v1	home	2.49	0.8709	away	-4	0	0.2993	0.2957	spread_home	loss
2026-05-21	icehockey_nhl	Montreal Canadiens @ Carolina Hurricanes	regression-v1	home	0.85	0.6536	away	-4	0	-0.2612	-0.0276	spread_away	win
2026-05-21	icehockey_nhl	Montreal Canadiens @ Carolina Hurricanes	pace-adj-v1	home	0.99	0.6756	away	-4	0	-0.2086	0.0052	spread_away	win
2026-05-21	baseball_mlb	Cleveland Guardians @ Detroit Tigers	season-avg-v1	away	-2.07	0.2834	away	-2	1	-0.1778	-0.4702	ml_away	win
2026-05-21	baseball_mlb	Cleveland Guardians @ Detroit Tigers	recency-v1	away	-2.36	0.2557	away	-2	1	-0.2393	-0.5219	ml_away	win
2026-05-21	baseball_mlb	Cleveland Guardians @ Detroit Tigers	injury-rest-v1	away	-3.05	0.185	away	-2	1	-0.3882	-0.6541	ml_away	win
2026-05-21	baseball_mlb	Cleveland Guardians @ Detroit Tigers	home-swing-v1	away	-0.75	0.4223	away	-2	1	0.098	-0.2105	ml_away	win
2026-05-21	baseball_mlb	Cleveland Guardians @ Detroit Tigers	regression-v1	away	-1.69	0.3231	away	-2	1	-0.0918	-0.3959	ml_away	win
2026-05-21	baseball_mlb	Cleveland Guardians @ Detroit Tigers	pace-adj-v1	away	-2.05	0.2848	away	-2	1	-0.1723	-0.4675	ml_away	win
2026-05-21	baseball_mlb	Pittsburgh Pirates @ St. Louis Cardinals	season-avg-v1	home	0.65	0.5704	away	-4	0	0.3705	0.1637	spread_home	loss
2026-05-21	baseball_mlb	Pittsburgh Pirates @ St. Louis Cardinals	recency-v1	home	0.61	0.5649	away	-4	0	0.365	0.1524	spread_home	loss
2026-05-21	baseball_mlb	Pittsburgh Pirates @ St. Louis Cardinals	injury-rest-v1	home	0.59	0.5642	away	-4	0	0.3707	0.151	spread_home	loss
2026-05-21	baseball_mlb	Pittsburgh Pirates @ St. Louis Cardinals	home-swing-v1	home	2.01	0.7041	away	-4	0	0.5699	0.4364	spread_home	loss
2026-05-21	baseball_mlb	Pittsburgh Pirates @ St. Louis Cardinals	regression-v1	home	0.56	0.5644	away	-4	0	0.3556	0.1514	spread_home	loss
2026-05-21	baseball_mlb	Pittsburgh Pirates @ St. Louis Cardinals	pace-adj-v1	home	0.6	0.5667	away	-4	0	0.3619	0.156	spread_home	loss
2026-05-21	baseball_mlb	New York Mets @ Washington Nationals	season-avg-v1	home	0.62	0.5687	away	-1	0	0.368	0.1103	spread_home	win
2026-05-21	baseball_mlb	New York Mets @ Washington Nationals	recency-v1	home	0.62	0.5672	away	-1	0	0.3644	0.1073	spread_home	win
2026-05-21	baseball_mlb	New York Mets @ Washington Nationals	injury-rest-v1	home	0.59	0.568	away	-1	0	0.3686	0.109	spread_home	win
2026-05-21	baseball_mlb	New York Mets @ Washington Nationals	home-swing-v1	home	2.04	0.7068	away	-1	0	0.5669	0.3799	spread_home	win
2026-05-21	baseball_mlb	New York Mets @ Washington Nationals	regression-v1	home	0.55	0.5598	away	-1	0	0.3478	0.093	spread_home	win
2026-05-21	baseball_mlb	New York Mets @ Washington Nationals	pace-adj-v1	home	0.62	0.5678	away	-1	0	0.3649	0.1086	spread_home	win
2026-05-21	baseball_mlb	Atlanta Braves @ Miami Marlins	season-avg-v1	away	-2.34	0.2612	away	-6	1	-0.2325	-0.428	ml_away	win
2026-05-21	baseball_mlb	Atlanta Braves @ Miami Marlins	recency-v1	away	-2.45	0.2528	away	-6	1	-0.2507	-0.4463	ml_away	win
2026-05-21	baseball_mlb	Atlanta Braves @ Miami Marlins	injury-rest-v1	away	-3.02	0.2003	away	-6	1	-0.3728	-0.5613	ml_away	win
2026-05-21	baseball_mlb	Atlanta Braves @ Miami Marlins	home-swing-v1	away	-0.99	0.3969	away	-6	1	0.0475	-0.1308	spread_home	loss
2026-05-21	baseball_mlb	Atlanta Braves @ Miami Marlins	regression-v1	away	-1.9	0.3017	away	-6	1	-0.1376	-0.3393	ml_away	win
2026-05-21	baseball_mlb	Atlanta Braves @ Miami Marlins	pace-adj-v1	away	-2.34	0.26	away	-6	1	-0.2295	-0.4307	ml_away	win
2026-05-21	baseball_mlb	Toronto Blue Jays @ New York Yankees	season-avg-v1	home	1.82	0.6892	away	-2	0	0.03	0.0922	ml_home	loss
2026-05-21	baseball_mlb	Toronto Blue Jays @ New York Yankees	recency-v1	home	1.98	0.7055	away	-2	0	0.0624	0.1181	ml_home	loss
2026-05-21	baseball_mlb	Toronto Blue Jays @ New York Yankees	injury-rest-v1	home	1.81	0.6925	away	-2	0	0.0243	0.0975	ml_home	loss
2026-05-21	baseball_mlb	Toronto Blue Jays @ New York Yankees	home-swing-v1	home	3.3	0.8102	away	-2	0	0.3143	0.284	spread_home	loss
2026-05-21	baseball_mlb	Toronto Blue Jays @ New York Yankees	regression-v1	home	1.56	0.6599	away	-2	0	-0.0289	0.0458	ml_home	loss
2026-05-21	baseball_mlb	Toronto Blue Jays @ New York Yankees	pace-adj-v1	home	1.83	0.6883	away	-2	0	0.0351	0.0908	ml_home	loss
2026-05-21	baseball_mlb	Sacramento Athletics @ Los Angeles Angels	season-avg-v1	away	-0.85	0.4086	away	-1	1	0.0781	-0.2131	ml_away	win
2026-05-21	baseball_mlb	Sacramento Athletics @ Los Angeles Angels	recency-v1	away	-0.92	0.4021	away	-1	1	0.0651	-0.2256	ml_away	win
2026-05-21	baseball_mlb	Sacramento Athletics @ Los Angeles Angels	injury-rest-v1	away	-1.16	0.3696	away	-1	1	0.0176	-0.2882	ml_away	win
2026-05-21	baseball_mlb	Sacramento Athletics @ Los Angeles Angels	home-swing-v1	home	0.59	0.5621	away	-1	0	0.3487	0.0826	spread_home	win
2026-05-21	baseball_mlb	Sacramento Athletics @ Los Angeles Angels	regression-v1	away	-0.66	0.4265	away	-1	1	0.1142	-0.1787	spread_home	win
2026-05-21	baseball_mlb	Sacramento Athletics @ Los Angeles Angels	pace-adj-v1	away	-0.85	0.4092	away	-1	1	0.08	-0.2119	ml_away	win
2026-05-22	basketball_nba	Oklahoma City Thunder @ San Antonio Spurs	season-avg-v1	away	-1.68	0.5383	away	-15	1	0.0941	0.0873	spread_away	win
2026-05-22	basketball_nba	Oklahoma City Thunder @ San Antonio Spurs	recency-v1	away	-1.21	0.5252	away	-15	1	0.0657	0.0609	spread_away	win
2026-05-22	basketball_nba	Oklahoma City Thunder @ San Antonio Spurs	injury-rest-v1	away	-1.54	0.5331	away	-15	1	0.0826	0.0769	spread_away	win
2026-05-22	basketball_nba	Oklahoma City Thunder @ San Antonio Spurs	home-swing-v1	away	-0.13	0.5025	away	-15	1	0.0251	0.0150	spread_away	win
2026-05-22	basketball_nba	Oklahoma City Thunder @ San Antonio Spurs	regression-v1	away	-0.63	0.5144	away	-15	1	0.0466	0.0390	spread_away	win
2026-05-22	basketball_nba	Oklahoma City Thunder @ San Antonio Spurs	pace-adj-v1	away	-1.51	0.5338	away	-15	1	0.0869	0.0783	spread_away	win
2026-05-22	icehockey_nhl	Vegas Golden Knights @ Colorado Avalanche	season-avg-v1	home	0.18	0.5313	away	-2	0	0.3743	0.2093	spread_away	win
2026-05-22	icehockey_nhl	Vegas Golden Knights @ Colorado Avalanche	recency-v1	home	0.2	0.5354	away	-2	0	0.3741	0.1988	spread_away	win
2026-05-22	icehockey_nhl	Vegas Golden Knights @ Colorado Avalanche	injury-rest-v1	home	0.17	0.5316	away	-2	0	0.3819	0.2084	spread_away	win
2026-05-22	icehockey_nhl	Vegas Golden Knights @ Colorado Avalanche	home-swing-v1	home	1.67	0.7731	away	-2	0	0.0135	0.1758	ml_home	loss
2026-05-22	icehockey_nhl	Vegas Golden Knights @ Colorado Avalanche	regression-v1	home	0.19	0.5354	away	-2	0	0.3696	0.1988	spread_away	win
2026-05-22	icehockey_nhl	Vegas Golden Knights @ Colorado Avalanche	pace-adj-v1	home	0.17	0.5326	away	-2	0	0.3813	0.2060	spread_away	win
2026-05-22	baseball_mlb	Los Angeles Dodgers @ Milwaukee Brewers	season-avg-v1	away	-0.07	0.5090	home	4	0	0.2306	-0.0283	spread_home	win
2026-05-22	baseball_mlb	Los Angeles Dodgers @ Milwaukee Brewers	recency-v1	home	0.03	0.5021	home	4	1	0.2481	-0.0414	spread_home	win
2026-05-22	baseball_mlb	Los Angeles Dodgers @ Milwaukee Brewers	injury-rest-v1	away	-0.1	0.5121	home	4	0	0.2270	-0.0224	spread_home	win
2026-05-22	baseball_mlb	Los Angeles Dodgers @ Milwaukee Brewers	home-swing-v1	home	1.38	0.6397	home	4	1	0.4705	0.2213	spread_home	win
2026-05-22	baseball_mlb	Los Angeles Dodgers @ Milwaukee Brewers	regression-v1	away	-0.0	0.4998	home	4	0	0.2409	-0.0450	spread_home	win
2026-05-22	baseball_mlb	Los Angeles Dodgers @ Milwaukee Brewers	pace-adj-v1	away	-0.1	0.5127	home	4	0	0.2238	-0.0212	spread_home	win
2026-05-22	baseball_mlb	Tampa Bay Rays @ New York Yankees	season-avg-v1	away	-0.3	0.5326	away	-2	1	0.3026	0.1983	spread_away	win
